,char,length,count
181,ゥ,141.89095577021186,3
182,ウ,179.53237962402923,3
183,ェ,122.65305997741442,3
184,エ,155.02118824168485,3
185,ォ,170.17563256792192,3
186,オ,214.10123849533684,3
187,カ,200.2532371180482,2
188,ガ,223.45089211714762,4
189,キ,206.08174634029461,3
190,ギ,229.78256940267482,5
191,ク,147.3675914853807,2
192,グ,170.56524648448013,4
193,ケ,152.9171744047802,3
194,ゲ,176.82312732846034,5
195,コ,148.06730951563097,2
196,ゴ,171.2649645147304,4
197,サ,204.0985825317434,3
198,ザ,227.32949090825244,5
199,シ,103.65868380911539,3
200,ジ,127.09963326082698,5
201,ス,172.0966755442857,2
202,ズ,195.29433054338512,4
203,セ,198.51024040314752,2
204,ゼ,221.70789540224695,4
205,ソ,107.47311033005016,2
206,ゾ,129.81485092486497,4
207,タ,177.0558360445799,3
208,ダ,200.97029096887852,5
209,チ,187.83517594567132,3
210,ヂ,211.2091013279101,5
211,ッ,88.89178808243706,3
212,ツ,111.29141342822177,3
213,ヅ,135.3640162519602,5
214,テ,167.85898867432186,3
215,デ,191.0898970508309,5
216,ト,108.41252514539997,2
217,ド,131.6101801444994,4
218,ナ,158.95254687474784,2
219,ニ,116.62558628729539,2
220,ヌ,168.77164162113039,2
221,ネ,203.61783626697442,4
222,ノ,80.51395878008053,1
223,ハ,87.65833817695997,2
224,バ,111.00334285741606,4
225,パ,133.07783414685656,3
226,ヒ,153.37634115935637,2
227,ビ,176.5739961584558,4
228,ピ,198.65267746229694,3
229,フ,142.03993421714694,1
230,ブ,165.8958220949385,3
231,プ,187.3162705200875,2
232,ヘ,99.09822642261588,1
233,ベ,122.98810804566133,3
234,ペ,144.72365571495442,2
235,ホ,202.77600594746187,4
236,ボ,225.9797621120481,6
237,ポ,248.05425340148858,5
238,マ,149.21488017725727,2
239,ミ,97.71130821161412,3
240,ム,153.86106132404137,2
241,メ,135.96679068724217,2
242,モ,207.94182863661229,3
243,ャ,134.5790317747419,2
244,ヤ,171.07856656126137,2
245,ュ,128.05318884066884,2
246,ユ,160.15889462186973,2
247,ョ,167.7012646161696,3
248,ヨ,209.2025580111057,3
249,ラ,167.81218845497273,2
250,リ,126.9142424020697,2
251,ル,171.6358044840975,2
252,レ,131.44988912655572,1
253,ロ,194.16632577459893,3
254,ヮ,141.54103429756117,2
255,ワ,177.07994025085455,2
256,ヰ,241.63472631759657,4
257,ヱ,178.5683868971492,3
258,ヲ,176.36330549457398,3
259,ン,94.59192148604235,2
260,ヴ,202.73003462312866,5
261,ヵ,163.29338217999694,2
262,ヶ,122.81780091422561,3
263,ヷ,200.9210307893092,4
264,ヸ,264.832381316696,6
265,ヹ,202.42427477494076,5
266,ヺ,200.21919337236554,5
267,・,37.71533383480499,1
268,ー,80.08270248861211,1
269,ヽ,47.19443661008383,1
270,ヾ,75.24733026769164,3
271,"川"" kvg:variant=""true"" kvg:original=""巛"" kvg:position=""bottom",339.6060160013958,7
272,"丿"" kvg:position=""left",184.02159744741107,4
273,"㔾"" kvg:original=""卩"" kvg:radical=""general",188.61452248198918,2
274,"一"" kvg:radical=""general",86.16077686309217,1
275,亅,159.9895075999995,2
276,"乙"" kvg:variant=""true"" kvg:radical=""nelson",183.85297410500596,2
277,"一"" kvg:radical=""general",257.4975524375633,3
278,"丿"" kvg:radical=""nelson",239.6402058056401,3
